Date,MAIN_FILTER_IN_PRESSURE
4/14/2019,8.777405739
4/15/2019,9.21931839
4/16/2019,8.615236282
4/17/2019,8.538208961
4/18/2019,9.377434731
4/19/2019,9.138234138
4/20/2019,9.21931839
4/21/2019,8.976064682
4/22/2019,9.138234138
4/23/2019,7.816553116
4/24/2019,9.057148933
4/25/2019,9.097691536
4/26/2019,8.45712471
4/27/2019,9.21931839
4/28/2019,9.259860992
4/29/2019,9.097691536
4/30/2019,8.817948341
5/1/2019,8.976064682
5/2/2019,8.538208961
5/3/2019,9.21931839
5/4/2019,9.178776741
5/5/2019,9.697716713
5/6/2019,8.335496902
5/7/2019,9.580142975
5/8/2019,9.138234138
5/9/2019,9.097691536
5/10/2019,8.817948341
5/11/2019,9.539604187
5/12/2019,9.616632462
5/13/2019,9.65717411
5/14/2019,9.458519936
5/15/2019,9.859886169
5/16/2019,9.458519936
5/17/2019,9.377434731
5/18/2019,9.296350479
5/19/2019,9.580142975
5/20/2019,9.259860992
5/21/2019,9.49905777
5/22/2019,9.65717411
5/23/2019,9.057148933
5/24/2019,9.697716713
5/25/2019,9.178776741
5/26/2019,9.138234138
5/27/2019,9.296350479
5/28/2019,9.859886169
5/29/2019,9.977459908
5/30/2019,9.940970421
5/31/2019,9.697716713
6/1/2019,9.65717411
6/2/2019,10.18017197
6/3/2019,9.49905777
6/4/2019,9.377434731
6/5/2019,9.859886169
6/6/2019,9.097691536
6/7/2019,9.580142975
6/8/2019,10.29774189
6/9/2019,9.539604187
6/10/2019,9.296350479
6/11/2019,9.859886169
6/12/2019,9.940970421
6/13/2019,9.859886169
6/14/2019,10.05854416
6/15/2019,9.296350479
6/16/2019,9.738259315
6/17/2019,9.616632462
6/18/2019,9.900428772
6/19/2019,10.37882614
6/20/2019,9.65717411
6/21/2019,10.01800251
6/22/2019,9.977459908
6/23/2019,10.26125622
6/24/2019,9.940970421
6/25/2019,10.05854416
6/26/2019,9.21931839
6/27/2019,10.18017197
6/28/2019,9.458519936
6/29/2019,9.900428772
